# C5Z inventory. tent_no,type,reserved_for
# reserved_for takes a tent out of the pool the booth can assign.
tent_no,type,reserved_for
124,Regular,
125,Regular,
126,Regular,
127,Regular,
128,Regular,
129,Regular,
130,Regular,
131,Regular,
132,Regular,
133,Regular,
134,Regular,
135,Regular,
136,Regular,
137,Regular,
138,Regular,
139,Regular,
140,Regular,
141,Regular,
142,Basis,
143,Basis,
144,Basis,
145,Basis,
146,Basis,
147,Basis,
148,Basis,
149,Basis,
150,Basis,
151,Basis,
152,Basis,
153,Basis,
154,Basis,
155,Basis,
156,Basis,
157,Basis,
158,Basis,
159,Basis,
160,Basis,
161,Basis,
162,Basis,
163,Basis,
164,Basis,
165,Basis,
166,Basis,
167,Basis,
168,Basis,
169,Basis,
170,Basis,
171,Plus,
172,Plus,
173,Plus,
174,Plus,
175,Plus,
176,Plus,
177,Plus,Naemi
178,Plus,Fredi
179,Plus,
180,Plus,
181,Plus,
182,Plus,
183,Plus,
184,Plus,
185,Plus,
186,Plus,
187,Plus,
188,Plus,
189,Plus,
